Header ID,1_Dist_Bef_Head,2_Fli_Bef_Head,3_Fli_Aft_Head,4_Dist_Aft_Head,5_Head_Type,PLA,PLA (Based on Median),PAA,PAA (Based on Median)
1,0,1,1,0,0,17.2,High,1638,High
2,0,1,1,1,0,15.8,High,1275,High
3,0,1,1,0,0,8.2,Low,1094,High
4,1,1,1,1,0,18.4,High,1664,High
5,1,1,1,1,0,13.7,Low,831,Low
6,0,0,1,0,0,9.6,Low,936,Low
7,0,0,1,1,0,8.3,Low,827,Low
8,0,1,1,0,0,15.9,High,1599,High
9,0,1,1,1,0,10.4,Low,830,Low
10,1,1,1,1,0,15.1,High,1855,High
11,0,1,1,0,0,14.3,Low,604,Low
12,0,0,1,0,0,9.1,Low,280,Low
13,0,1,0,0,1,9.7,Low,929,Low
14,0,0,0,0,1,9.4,Low,1963,High
15,0,1,1,1,0,14.4,Low,1005,Low
16,0,1,0,1,1,11.4,Low,838,Low
17,0,1,0,0,1,9.7,Low,583,Low
18,0,1,1,1,0,15.0,High,1040,High
19,0,1,1,1,0,15.7,High,955,Low
20,1,1,1,1,0,15.9,High,796,Low
21,0,0,1,0,0,8.7,Low,993,Low
22,0,1,1,1,0,18.7,High,1207,High
23,0,1,1,0,0,17.5,High,1071,High
24,0,0,1,0,0,14.9,High,848,Low
25,0,1,0,0,1,8.5,Low,474,Low
26,0,1,1,1,0,17.3,High,1439,High
27,0,1,1,0,0,12.2,Low,857,Low
28,0,1,1,1,0,16.2,High,824,Low
29,0,0,1,0,0,9.6,Low,708,Low
30,1,1,1,1,0,17.9,High,3832,High
31,1,1,1,1,0,15.6,High,2427,High
32,0,0,1,0,0,23.1,High,2053,High
33,0,1,1,1,0,12.8,Low,283,Low
34,1,1,1,1,0,18,High,931,Low
35,0,0,1,1,0,11.9,Low,682,Low
36,1,1,1,0,0,29.9,High,3248,High
37,0,0,1,0,0,9.5,Low,920,Low
38,0,0,0,0,1,12.7,Low,2004,High
39,0,1,1,0,0,13.6,Low,1938,High
40,1,0,1,0,0,11.7,Low,1263,High
41,1,0,0,0,1,8.4,Low,1727,High
42,1,0,0,0,0,11.7,Low,473,Low
43,1,1,1,1,0,21.4,High,1306,High
44,0,1,1,1,0,13.3,Low,917,Low
45,1,1,1,1,0,15.7,High,2286,High
46,0,0,1,0,0,18.9,High,1097,High
47,0,1,1,0,0,11.2,Low,1365,High
48,0,1,1,0,0,17.6,High,1281,High
49,0,1,1,0,0,20,High,846,Low
50,0,0,1,0,0,14.9,High,984,Low
51,0,0,1,0,0,10.7,Low,1112,High
52,0,0,1,0,0,32.8,High,1748,High
53,1,0,1,0,0,9.6,Low,683,Low
54,0,1,1,1,0,14.9,High,1940,High
55,0,1,1,1,0,20.6,High,2893,High
56,0,1,1,1,0,18.7,High,838,Low
57,0,1,1,1,0,15.1,High,3083,High
58,0,1,1,1,0,16.8,High,906,Low
59,1,1,1,1,0,20.6,High,2846,High
